,Zipcode,Property Type,Square Feet,Bedrooms,Bathrooms,Review Scores Rating,Accommodates,Amenities,Cleaning Fee,Cancellation Policy,Latitude,Longitude,Price
0,78704,Apartment,500.0,1.0,1.0,97.0,2.0,"TV,Cable TV,Wireless Internet,Air conditioning,Free parking on premises,Pets allowed,Pets live on this property,Dog(s),Cat(s),Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron",25.0,strict,30.24776097039163,-97.74527209281084,85.0
22,78746,House,2800.0,4.0,2.5,99.0,8.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Free parking on premises,Pets live on this property,Dog(s),Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Shampoo",300.0,strict,30.268707914286264,-97.8018635612834,499.0
108,78741,House,1600.0,1.0,1.5,100.0,4.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Pets live on this property,Dog(s),Hot tub,Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer",100.0,moderate,30.223140036057224,-97.73493707318342,450.0
109,78722,House,900.0,1.0,1.0,80.0,2.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Breakfast,Pets live on this property,Dog(s),Cat(s),Heating,Washer,Dryer,Smoke detector,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace",50.0,strict,30.303035869984523,-97.7141169561813,150.0
122,78702,House,2700.0,3.0,2.0,97.0,8.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",100.0,strict,30.266307509818624,-97.72851469746796,275.0
154,78704,House,1000.0,2.0,1.0,99.0,4.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Keypad",80.0,moderate,30.25520389939593,-97.76862036143612,160.0
155,78704,House,1600.0,3.0,2.0,100.0,6.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Indoor fireplace,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance",90.0,moderate,30.253528756624565,-97.79132722400988,520.0
171,78704,Loft,360.0,2.0,1.0,100.0,4.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Indoor fireplace,Heating,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",75.0,strict,30.253722415592858,-97.74556447667848,230.0
177,78704,House,2100.0,4.0,2.0,100.0,6.0,"TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets live on this property,Cat(s),Heating,Family/kid friendly,Washer,Dryer",50.0,moderate,30.243911950653626,-97.77202810629349,400.0
342,78703,House,1700.0,3.0,2.0,100.0,6.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",85.0,strict,30.274335007885032,-97.75441396906858,350.0
499,78704,Condominium,0.0,1.0,1.0,97.0,5.0,"Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Free parking on premises,Heating,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Shampoo",35.0,moderate,30.239314390773433,-97.74969162556,108.0
502,78704,Loft,645.0,1.0,2.0,96.0,2.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer",75.0,strict,30.258382424955656,-97.77670196596858,109.0
527,78749,House,1175.0,3.0,2.0,98.0,6.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Breakfast,Pets live on this property,Dog(s),Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher",150.0,strict,30.20272666958141,-97.84438945512736,55.0
549,78722,House,1300.0,3.0,1.0,100.0,10.0,"Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Shampoo",90.0,strict,30.29115091197029,-97.71074719832936,299.0
562,78702,House,240.0,1.0,1.0,90.0,2.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets live on this property,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",5.0,flexible,30.263053993730914,-97.70771314778135,55.0
648,78704,Apartment,600.0,1.0,1.0,92.0,2.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets live on this property,Dog(s),Heating,Washer,Dryer,Smoke detector,Fire extinguisher,24-hour check-in",85.0,strict,30.253211576138863,-97.77306207563277,110.0
653,78704,House,950.0,2.0,1.0,100.0,4.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo",80.0,moderate,30.24186427320705,-97.77857892441071,233.0
668,78704,House,1300.0,3.0,2.0,100.0,6.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets live on this property,Cat(s),Other pet(s),Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Shampoo",75.0,strict,30.249446538907023,-97.7461263683162,749.0
784,60611,Apartment,900.0,1.0,1.0,91.0,4.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Indoor fireplace,Heating,Smoke detector,Carbon monoxide detector,Fire extinguisher,24-hour check-in,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",95.0,strict,41.9019858380226,-87.62672122396235,175.0
813,60647,Apartment,1200.0,1.0,1.0,94.0,4.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets live on this property,Dog(s),Cat(s),Heating,Washer,Dryer",20.0,moderate,41.91932926910007,-87.7122759114298,65.0
896,02108,Apartment,580.0,1.0,1.0,90.0,3.0,"TV,Cable TV,Internet,Wireless Internet,Air Conditioning,Kitchen,Doorman,Elevator in Building,Heating,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Essentials",250.0,strict,42.358931308258974,-71.06331100414958,175.0
924,02131,House,200.0,1.0,1.0,93.0,1.0,"Cable TV,Internet,Wireless Internet,Air Conditioning,Free Parking on Premises,Pets live on this property,Cat(s),Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Fire Extinguisher,Essentials,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace",50.0,strict,42.27571563204639,-71.13013942666514,75.0
1497,10016,Apartment,1250.0,2.0,1.5,96.0,6.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials",120.0,moderate,40.74663191523564,-73.98012094934064,389.0
1521,11101,House,96.0,1.0,1.0,97.0,2.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50",49.0,strict,40.74526639595307,-73.94628556100405,69.0
1537,10002,Apartment,100.0,1.0,1.0,98.0,2.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Lockbox",50.0,strict,40.719579641989654,-73.99214284169574,115.0
1682,90277,Townhouse,176.0,1.0,1.5,97.0,2.0,"Cable TV,Wireless Internet,Kitchen,Indoor fireplace,Washer,Dryer,Smoke detector,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",25.0,moderate,33.8386668710219,-118.38036931196785,85.0
1868,91607,Villa,1500.0,2.0,1.0,100.0,6.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Pool,Kitchen,Free parking on premises,Pets live on this property,Cat(s),Hot tub,Indoor fireplace,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Shampoo",125.0,strict,34.16700821379396,-118.41117989825644,395.0
2171,90038,House,1615.0,4.0,3.5,98.0,14.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Gym,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials",250.0,strict,34.0854122344225,-118.34192051588516,380.0
2216,90038,Apartment,850.0,2.0,1.0,93.0,6.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Smoking allowed,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,translation missing: en.hosting_amenity_50",99.0,moderate,34.092265737938106,-118.34070184935486,157.0
2405,90066,House,1000.0,2.0,1.0,80.0,5.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Shampoo",100.0,strict,33.99722296923318,-118.43998988981951,210.0
2508,90019,Apartment,1800.0,3.0,2.0,93.0,7.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Lockbox,Private entrance,Bathtub,Pack ’n Play/travel crib,Room-darkening shades",150.0,strict,34.048155673329724,-118.34583590974272,195.0
2539,90065,House,1100.0,2.0,1.0,99.0,4.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance,Bathtub,Fireplace guards,Room-darkening shades",100.0,strict,34.10780400586229,-118.21864080173872,190.0
